id,name,icon,description,active,created_at,updated_at,score,kind
207,Alien Worlds,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,5,""
510,Autofarm Network,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,2,""
210,ALIS,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
513,Autonomy Network,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,12,""
514,AutoShark.Finance,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
515,AUX Exchange,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,10,""
214,ALL,"","",false,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,31478,""
216,AllianceBlock,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
227,Aloe Labs,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
522,Avalaunch,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,3,""
229,Alpaca Finance,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
527,Ava's DAO,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
531,Aventus,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,2,""
532,Avex Defy,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
533,Avian Network,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,7,""
230,Alpen,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,29,""
2482,Forbole,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,5,""
2485,Forge4 Flow,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,1,""
543,axia-coin,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,2,""
544,Axial Entertainment Digital Asset,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
2491,Forta Network,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,7,""
2498,ForwardX,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,1,""
550,Axon Web3,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,33,""
2500,Foundry,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,2514,Infrastructure
2505,FoxWallet,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,7,""
2507,Fractal,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,1,""
559,Babelfish Protocol,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,4,""
561,Baby Doge Coin,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
563,Babylon Finance,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,3,""
564,BabySwap,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
2508,Fractal Bitcoin,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,3,""
567,Backed.xyz (Papr.wtf),"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,6,""
2511,Fragcolor,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,3,""
2512,Fragmetric Labs,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,6,""
2513,frakt,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,4,""
2514,Frame,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,2,""
575,Baguette,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,2,""
576,Baguette Token,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,2,""
582,Balance,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
583,Balance Analytics,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,2,""
2516,Frax,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,7,""
2517,Fraxtal,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,18,""
2518,Free,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,3,""
2522,Freename,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,2,""
2525,Frequency,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,8,""
597,Bancacy,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
2528,friedger-pool,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,1,""
2533,FRIES COIN(FRYS),"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,3,""
604,BankOfChain,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,8,""
605,Bank of Staked,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
2535,Fringe Finance,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,2,""
2540,Fuel,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,162,Infrastructure
611,BarnBridge,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,3,""
2541,Fuel DAO,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,3,""
2544,Fuji Money,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,1,""
618,Basicbeasts,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,2,""
625,Battlemon,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,7,""
628,Beamer,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,11,""
2547,Fullcount,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,8,""
2548,Functionland,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,2,""
2549,Function X,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,7,""
2553,FunFair,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,2,""
2555,Funkichain,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,2,""
2558,Furucombo,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,2,""
